"","tau","p.value"
"Rusty Blackbird",0.0719553895936252,0.685202918456453
"Sandhill Crane",0.155047829081826,0.413755294210369
"Savannah Sparrow",-0.191500198371257,0.24181551616488
"Sharp-shinned Hawk",-0.262487183555884,0.115882783300247
"Short-eared Owl",0.483576419861591,0.00648096075048255
"Snow Bunting",-0.316227766016838,0.0994534797483087
"Snow Goose",-0.0362738125055006,0.850106739138526
"Song Sparrow",0.410526315789474,0.0113850039201186
"Swamp Sparrow",0.468111596018629,0.00420797001216335
"Thayer's Gull",-0.149792099692186,0.435156072445529
"Townsend's Solitaire",-0.0166435666324652,0.930901235040378
"Trumpeter Swan",0.176253988747552,0.342881409787373
"Tufted Titmouse",-0.332454983102184,0.0408482984484522
"Tundra Swan",-0.426001377459012,0.00996178829282572
"Turkey Vulture",-0.473684210526316,0.00350047582175583
"White-breasted Nuthatch",-0.216359592177612,0.183216546651358
"White-crowned Sparrow",-0.206903102665197,0.205037420058318
"White-throated Sparrow",0.221052631578947,0.172989709440166
"Wild Turkey",0.464041249944519,0.00463869078168135
"Wilson's Snipe",0.170996392014192,0.316592493843961
"Wilson's/Common Snipe",-0.513369027391213,0.0061794055949109
"Winter Wren",0.725476250110012,3.64439538802178e-05
"Wood Duck",-0.0559717078549556,0.741362801195995
"Yellow-bellied Sapsucker",-0.0373366522943866,0.819809205340188
"Yellow-rumped Warbler (Myrtle)",-0.395779741788315,0.0149081352302841
